,Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory(in GB),Gpu,OpSys,Weight,Price
0,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8GB,128 SSD,Intel Iris Plus Graphics 640,macOS,1.37kg,71378.6832
1,Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8GB,128 Flash Storage,Intel HD Graphics 6000,macOS,1.34kg,47895.5232
2,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Intel HD Graphics 620,No OS,1.86kg,30636
3,Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.7GHz,16GB,512 SSD,AMD Radeon Pro 455,macOS,1.83kg,135195.336
4,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz,8GB,256 SSD,Intel Iris Plus Graphics 650,macOS,1.37kg,96095.808
5,Acer,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,500 HDD,AMD Radeon R5,Windows 10,2.1kg,21312
6,Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.2GHz,16GB,256 Flash Storage,Intel Iris Pro Graphics,Mac OS X,2.04kg,114017.6016
7,Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8GB,256 Flash Storage,Intel HD Graphics 6000,macOS,1.34kg,61735.536
8,Asus,Ultrabook,14,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,512 SSD,Nvidia GeForce MX150,Windows 10,1.3kg,79653.6
9,Acer,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256 SSD,Intel UHD Graphics 620,Windows 10,1.6kg,41025.6
10,HP,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,500 HDD,Intel HD Graphics 620,No OS,1.86kg,20986.992
11,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,500 HDD,Intel HD Graphics 520,No OS,1.86kg,18381.0672
12,Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.8GHz,16GB,256 SSD,AMD Radeon Pro 555,macOS,1.83kg,130001.6016
13,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,256 SSD,AMD Radeon R5 M430,Windows 10,2.2kg,26581.392
14,Apple,Ultrabook,12,IPS Panel Retina Display 2304x1440,Intel Core M m3 1.2GHz,8GB,256 SSD,Intel HD Graphics 615,macOS,0.92kg,67260.672
15,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8GB,256 SSD,Intel Iris Plus Graphics 640,macOS,1.37kg,80908.344
16,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256 SSD,AMD Radeon R5 M430,Windows 10,2.2kg,39693.6
17,Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.9GHz,16GB,512 SSD,AMD Radeon Pro 560,macOS,1.83kg,152274.24
18,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8GB,1000 HDD,Nvidia GeForce 940MX,No OS,2.2kg,26586.72
19,Dell,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128 SSD,Intel UHD Graphics 620,Windows 10,1.22kg,52161.12
20,Asus,Netbook,11.6,1366x768,Intel Atom x5-Z8350 1.44GHz,2GB,32 Flash Storage,Intel HD Graphics 400,Windows 10,0.98kg,10224.432
21,HP,Notebook,15.6,1366x768,AMD E-Series E2-9000e 1.5GHz,4GB,500 HDD,AMD Radeon R2,No OS,1.86kg,13746.24
22,Dell,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256 SSD,Intel UHD Graphics 620,Windows 10,1.62kg,43636.32
23,HP,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.91kg,35111.52
24,Dell,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,1000 HDD,Intel HD Graphics 520,Windows 10,2.3kg,22305.1392
25,Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8GB,128 Flash Storage,Intel HD Graphics 6000,Mac OS X,1.35kg,58554.72
26,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256 SSD,AMD Radeon 530,Windows 10,2.2kg,42624
27,HP,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,1000 HDD,Nvidia GeForce 930MX,Windows 10,2.5kg,47738.88
28,Chuwi,Notebook,15.6,Full HD 1920x1080,Intel Atom x5-Z8300 1.44GHz,4GB,64 Flash Storage,Intel HD Graphics,Windows 10,1.89kg,13053.0672
29,Asus,Notebook,14,1366x768,AMD E-Series E2-6110 1.5GHz,2GB,32 Flash Storage,AMD Radeon R2,Windows 10,1.65kg,10602.72
30,HP,Notebook,17.3,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,500 HDD,AMD Radeon 530,Windows 10,2.71kg,23389.92
31,Dell,Ultrabook,13.3,Touchscreen / Quad HD+ 3200x1800,Intel Core i7 8550U 1.8GHz,16GB,512 SSD,Intel UHD Graphics 620,Windows 10,1.2kg,99580.32
32,Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8GB,256 Flash Storage,Intel HD Graphics 6000,Mac OS X,1.35kg,53173.44
33,Lenovo,Notebook,14,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,64 Flash Storage,Intel HD Graphics 500,Windows 10,1.44kg,13266.72
34,Acer,Notebook,15.6,1366x768,Intel Core i3 7130U 2.7GHz,4GB,1000 HDD,Intel HD Graphics 620,Linux,2.1kg,19553.76
35,HP,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,1000 HDD,Intel HD Graphics 620,Windows 10,1.86kg,26037.4032
36,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256 SSD,Nvidia GeForce 930MX ,Windows 10,2.1kg,46833.12
37,Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1000 HDD,Intel HD Graphics 620,Linux,2kg,20725.92
38,Asus,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,1000 HDD,Nvidia GeForce 940MX,Linux,2.3kg,27864.9072
